timestamp,count,density,smoothed
2026-04-26T14:33:34.558806+00:00,144,High,143.9609217749041
2026-04-26T14:33:35.237670+00:00,144,High,143.67264524243288
2026-04-26T14:33:36.006066+00:00,143,High,143.170851669703
2026-04-26T14:33:36.720227+00:00,145,High,144.6195961687921
2026-04-26T14:33:39.268464+00:00,145,High,145.03371731815446
2026-04-26T14:33:39.933236+00:00,146,High,145.62360212270812
2026-04-26T14:33:40.730449+00:00,147,High,146.9365214858957
2026-04-26T14:33:41.373248+00:00,149,High,149.05556504012696
2026-04-26T14:33:42.248662+00:00,149,High,149.33889552808887
2026-04-26T14:33:43.393362+00:00,151,High,150.7372268696622
2026-04-26T14:33:45.129918+00:00,152,High,151.71605880876353
2026-04-26T14:33:45.828574+00:00,154,High,154.20124116613448
2026-04-26T14:33:46.384302+00:00,154,High,153.54086881629414
2026-04-26T14:33:46.931883+00:00,153,High,152.7786081714059
2026-04-26T14:33:47.589387+00:00,152,High,151.94502571998413
2026-04-26T14:33:48.286696+00:00,153,High,152.56151800398888
2026-04-26T14:33:48.948899+00:00,152,High,152.3930626027922
2026-04-26T14:33:49.739352+00:00,153,High,152.57514382195455
2026-04-26T14:33:50.891163+00:00,152,High,152.40260067536818
2026-04-26T14:33:51.452781+00:00,153,High,152.58182047275773
2026-04-26T14:33:51.996267+00:00,153,High,153.0072743309304
2026-04-26T14:33:52.553816+00:00,153,High,153.00509203165126
2026-04-26T14:33:53.371263+00:00,152,High,152.10356442215587
2026-04-26T14:33:54.243842+00:00,152,High,152.0724950955091
2026-04-26T14:33:55.124721+00:00,151,High,151.45074656685637
2026-04-26T14:33:56.198215+00:00,153,High,152.51552259679946
2026-04-26T14:33:57.467275+00:00,151,High,151.4608658177596
2026-04-26T14:33:58.560955+00:00,153,High,152.52260607243173
2026-04-26T14:33:59.105858+00:00,151,High,151.4658242507022
2026-04-26T14:34:00.093099+00:00,152,High,151.62607697549154
2026-04-26T14:34:00.788337+00:00,151,High,150.83825388284407
2026-04-26T14:34:01.358135+00:00,152,High,152.08677771799086
2026-04-26T14:34:02.814836+00:00,150,High,150.2607444025936
2026-04-26T14:34:03.657448+00:00,150,High,149.8825210818155
2026-04-26T14:34:05.518547+00:00,149,High,149.01776475727084
2026-04-26T14:34:06.058527+00:00,148,High,148.11243533008957
2026-04-26T14:34:07.362277+00:00,148,High,148.0787047310627
2026-04-26T14:34:07.946720+00:00,149,High,149.25509331174388
2026-04-26T14:34:08.465039+00:00,149,High,148.8785653182207
2026-04-26T14:34:08.966202+00:00,149,High,148.91499572275447
2026-04-26T14:34:09.433506+00:00,149,High,149.24049700592812
2026-04-26T14:34:09.926107+00:00,151,High,150.66834790414967
2026-04-26T14:34:10.422258+00:00,151,High,151.06784353290476
2026-04-26T14:34:10.974127+00:00,152,High,151.64749047303332
2026-04-26T14:34:11.638880+00:00,151,High,151.4532433311233
2026-04-26T14:34:13.045261+00:00,153,High,152.5172703317863
2026-04-26T14:34:14.158468+00:00,153,High,152.9620892322504
2026-04-26T14:34:15.089790+00:00,153,High,152.97346246257527
2026-04-26T14:34:16.075101+00:00,152,High,151.78142372380267
2026-04-26T14:34:16.615079+00:00,153,High,152.74699660666187
2026-04-26T14:34:17.596704+00:00,153,High,153.1228976246633
2026-04-26T14:34:20.516076+00:00,153,High,152.7860283372643
2026-04-26T14:34:21.238583+00:00,153,High,153.150219836085
2026-04-26T14:34:21.822677+00:00,153,High,153.4051538852595
2026-04-26T14:34:22.355267+00:00,152,High,152.38360771968163
2026-04-26T14:34:22.939177+00:00,152,High,151.66852540377715
2026-04-26T14:34:23.599200+00:00,151,High,150.567967782644
2026-04-26T14:34:25.340591+00:00,151,High,151.29757744785078
2026-04-26T14:34:26.400294+00:00,151,High,150.60830421349553
2026-04-26T14:34:27.015506+00:00,150,High,150.12581294944687
2026-04-26T14:34:27.560438+00:00,150,High,150.3880690646128
2026-04-26T14:34:28.205454+00:00,153,High,152.67164834522896
2026-04-26T14:34:28.736960+00:00,152,High,152.47015384166028
2026-04-26T14:34:29.533390+00:00,153,High,152.92910768916218
2026-04-26T14:34:30.114270+00:00,153,High,153.25037538241352
2026-04-26T14:34:32.081305+00:00,156,High,155.57526276768945
2026-04-26T14:34:33.049759+00:00,155,High,154.8026839373826
2026-04-26T14:34:34.537894+00:00,155,High,154.8618787561678
2026-04-26T14:34:35.531393+00:00,154,High,154.30331512931747
2026-04-26T14:34:37.702187+00:00,156,High,155.7123205905222
2026-04-26T14:34:40.864144+00:00,155,High,155.19862441336554
2026-04-26T14:34:42.360482+00:00,154,High,154.23903708935586
2026-04-26T14:34:42.876942+00:00,154,High,154.4673259625491
2026-04-26T14:34:43.522185+00:00,155,High,154.62712817378434
2026-04-26T14:34:44.065960+00:00,155,High,154.73898972164903
2026-04-26T14:34:44.590483+00:00,154,High,153.6172928051543
2026-04-26T14:34:45.547764+00:00,153,High,152.532104963608
2026-04-26T14:34:47.126694+00:00,152,High,152.07247347452557
2026-04-26T14:34:47.650193+00:00,151,High,150.55073143216788
2026-04-26T14:34:48.187855+00:00,149,High,149.1855120025175
2026-04-26T14:34:48.724756+00:00,148,High,148.22985840176224
2026-04-26T14:34:49.255826+00:00,148,High,147.86090088123356
2026-04-26T14:34:49.771061+00:00,147,High,146.70263061686347
2026-04-26T14:34:50.320764+00:00,147,High,147.09184143180443
2026-04-26T14:34:51.101488+00:00,147,High,147.3642890022631
2026-04-26T14:34:51.689384+00:00,148,High,148.15500230158415
2026-04-26T14:34:52.427456+00:00,147,High,147.2085016111089
2026-04-26T14:34:52.967790+00:00,147,High,147.44595112777623
2026-04-26T14:34:53.486861+00:00,147,High,147.01216578944334
2026-04-26T14:34:53.998522+00:00,148,High,147.90851605261034
2026-04-26T14:34:54.520558+00:00,148,High,147.63596123682723
2026-04-26T14:34:55.063625+00:00,148,High,147.74517286577904
2026-04-26T14:34:55.580390+00:00,148,High,148.4216210060453
2026-04-26T14:34:56.570584+00:00,150,High,150.3951347042317
